"登陆页面类型","登陆页面路径","在线商店访客","访问","有商品添加到购物车的访问","到达结账页面的访问","完成结账的访问","转化率","页面浏览量","结账转化率","添加至购物车率","到达结账页面率","到达并完成结账的访问","平均访问持续时间","每次访问的页面浏览量","跳出率","完成结账率","跳出次数","Online store visitors (previous_week)","Sessions (previous_week)","Sessions with cart additions (previous_week)","Sessions that reached checkout (previous_week)","Sessions that completed checkout (previous_week)","Conversion rate (previous_week)","Pageviews (previous_week)","Checkout conversion rate (previous_week)","Added to cart rate (previous_week)","Reached checkout rate (previous_week)","Sessions that reached and completed checkout (previous_week)","Average session duration (previous_week)","Pageviews per session (previous_week)","Bounce rate (previous_week)","Completed checkout rate (previous_week)","Bounces (previous_week)","Online store visitors (previous_week) ","Sessions (previous_week) ","Sessions with cart additions (previous_week) ","Sessions that reached checkout (previous_week) ","Sessions that completed checkout (previous_week) ","Conversion rate (previous_week) ","Pageviews (previous_week) ","Checkout conversion rate (previous_week) ","Added to cart rate (previous_week) ","Reached checkout rate (previous_week) ","Sessions that reached and completed checkout (previous_week) ","Average session duration (previous_week) ","Pageviews per session (previous_week) ","Bounce rate (previous_week) ","Completed checkout rate (previous_week) ","Bounces (previous_week) "
"Collection","/collections/fake-pussy-fake-vagina-sex-toys",183,184,1,1,0,0,563,0,0.005434782608695652,0.005434782608695652,0,92.43478260869566,3.0597826086956523,0.5652173913043478,0,104,166,170,4,3,0,0,576,0,0.023529411764705882,0.01764705882352941,0,124.78235294117647,3.388235294117647,0.4588235294117647,0,78,10.240963855421686,8.235294117647058,-75,-66.66666666666667,,,-2.2569444444444446,,-76.90217391304347,-69.20289855072464,,-25.923193119887515,-9.693916062801927,23.188405797101446,,33.333333333333336
"Collection","/collections/life-size-anime-sex-doll",176,180,3,1,1,0.005555555555555556,527,1,0.016666666666666666,0.005555555555555556,1,155.89444444444445,2.9277777777777776,0.6166666666666667,1,111,54,57,0,0,0,0,185,,0,0,0,173.71929824561403,3.245614035087719,0.3684210526315789,,21,225.92592592592592,215.78947368421052,,,,,184.86486486486487,,,,,-10.260721739715878,-9.792792792792795,67.3809523809524,,428.57142857142856
"Collection","/collections/flat-chest-sex-doll",166,176,0,0,0,0,597,,0,0,0,171.6193181818182,3.3920454545454546,0.5454545454545454,,96,93,97,0,0,0,0,537,,0,0,0,248.15463917525773,5.536082474226804,0.5154639175257731,,50,78.49462365591398,81.44329896907216,,,,,11.1731843575419,,,,,-30.84178528670864,-38.728415439309295,5.818181818181822,,92
"Collection","/collections/shemale-sex-toy",150,154,0,0,0,0,555,,0,0,0,153.87662337662337,3.603896103896104,0.7402597402597403,,114,119,119,0,0,0,0,280,,0,0,0,103.28571428571429,2.3529411764705883,0.6722689075630253,,80,26.050420168067227,29.41176470588235,,,,,98.21428571428571,,,,,48.98151640890229,53.16558441558441,10.11363636363636,,42.5
"Collection","/collections/black-torso-sex-dolls",147,152,3,1,0,0,360,0,0.019736842105263157,0.006578947368421052,0,111.73684210526316,2.3684210526315788,0.5723684210526315,0,87,131,135,1,0,0,0,406,,0.007407407407407408,0,0,166.40740740740742,3.0074074074074075,0.5481481481481482,,74,12.213740458015268,12.592592592592593,200,,,,-11.330049261083744,,166.44736842105263,,,-32.85344453945904,-21.24708322530465,4.418563300142235,,17.56756756756757
"Collection","/collections/sex-doll-torso",147,149,4,2,1,0.006711409395973154,789,0.5,0.026845637583892617,0.013422818791946308,1,281.91946308724835,5.295302013422819,0.3624161073825503,0.5,54,173,178,2,2,0,0,718,0,0.011235955056179775,0.011235955056179775,0,200.98876404494382,4.033707865168539,0.42134831460674155,0,75,-15.028901734104046,-16.292134831460675,100,0,,,9.88857938718663,,138.9261744966443,19.46308724832215,,40.266280270377365,31.276289469256515,-13.986577181208053,,-28
"Collection","/collections/huge-breasts-sex-dolls",141,146,0,0,0,0,790,,0,0,0,223.6917808219178,5.410958904109589,0.3972602739726027,,58,91,96,0,0,0,0,416,,0,0,0,201.33333333333334,4.333333333333333,0.5416666666666666,,52,54.94505494505494,52.083333333333336,,,,,89.90384615384616,,,,,11.10518914995917,24.868282402528983,-26.65964172813488,,11.538461538461538
"Collection","/collections/anime-mini-sex-doll",135,141,1,0,0,0,356,,0.0070921985815602835,0,0,122.73049645390071,2.524822695035461,0.6382978723404256,,90,125,128,1,0,0,0,289,,0.0078125,0,0,94.9453125,2.2578125,0.625,,80,8,10.15625,0,,,,23.18339100346021,,-9.219858156028371,,,29.26440834443587,11.82605708115537,2.1276595744680904,,12.5
"Collection","/collections/sex-doll-videos",117,132,0,0,0,0,484,,0,0,0,169.75757575757575,3.6666666666666665,0.5681818181818182,,75,293,304,0,0,0,0,876,,0,0,0,94.78947368421052,2.8815789473684212,0.6776315789473685,,206,-60.06825938566553,-56.578947368421055,,,,,-44.74885844748859,,,,,79.08905826729259,27.24505327245052,-16.15180935569285,,-63.592233009708735
"Collection","/collections/futa-sex-doll",112,113,1,1,0,0,360,0,0.008849557522123894,0.008849557522123894,0,98.96460176991151,3.185840707964602,0.45132743362831856,0,51,133,134,1,0,0,0,426,,0.007462686567164179,0,0,144.4402985074627,3.1791044776119404,0.5149253731343284,,69,-15.789473684210526,-15.671641791044776,0,,,,-15.492957746478874,,18.58407079646018,,,-31.484078340645098,0.21189081391000852,-12.35090419392075,,-26.08695652173913
