# ----------------------------------------
# 网页和屏幕: 网页路径和屏幕类
# 账号：linkdolls
# 媒体资源：linkdolls-new - GA4
# ----------------------------------------
# 
# 所有用户
# 开始日期：20260301
# 结束日期：20260331
网页路径和屏幕类,浏览次数,活跃用户,每位活跃用户的浏览量,每位活跃用户的平均互动时长,事件数,关键事件数,总收入
/collections/fat-sex-doll,511,163,3.1349693251533743,49.306748466257666,1247,174,0
/en-ca/collections/celebrity-sex-dolls,505,136,3.713235294117647,59.080882352941174,1390,174,0
/de/collections/robotic-sex-doll,500,353,1.4164305949008498,26.81586402266289,2331,279,0
/blogs/featured-blog/how-to-make-fake-pussy,498,510,0.9764705882352941,53.08627450980392,3016,64,0
/collections/curvy-sex-dolls,494,146,3.3835616438356166,57.5,1197,145,0
/collections/ass-only,491,178,2.758426966292135,42.23033707865169,1272,145,0
/collections/in-stock-sex-doll-heads,487,176,2.7670454545454546,51.0625,1323,189,0
/collections/cheap-sex-doll,480,168,2.857142857142857,41.5,1321,152,0
/en-ca/collections/anime-sex-doll,471,122,3.860655737704918,65.19672131147541,1238,167,0
/collections/hyper-realistic-sex-doll,466,180,2.588888888888889,45.1,1450,218,0
/products/a660-25-5lbsuper-elastic-butt-sexy-and-real-realistic-ass-sex-doll-torso,465,402,1.1567164179104477,50.60945273631841,2392,162,0
/collections/2000-sex-doll,438,98,4.469387755102041,72.39795918367346,999,165,0
/en-ca/collections/sex-doll-head,438,162,2.7037037037037037,38.617283950617285,1379,221,0
/products/f2319a-163cm5-3ft-53kg-g-cup-hips-over-140-ros-movable-jaw-super-fat-bbw-huge-ass-sex-doll丨sy-doll,436,376,1.1595744680851063,61.013297872340424,2151,202,0
/collections/big-boobs-sex-dolls,431,94,4.585106382978723,88.02127659574468,1090,162,0
/products/f555-161cm5ft3-h-cup-huge-areola-bbw-head-silicone-sex-doll-starpery-doll,422,389,1.0848329048843188,50.82005141388175,1969,180,0
/en-ca/collections/fake-ass-sex-toy,407,141,2.8865248226950353,41.07801418439716,1263,217,0
/products/f5961-150cm-4ft9-f-cup-114-powerful-big-ass-tpe-ssbbw-plus-size-sex-dolls-2025-sy-doll,399,318,1.2547169811320755,65.54088050314465,1941,103,0
/en-ca/collections/shemale-sex-doll-torso-1,398,106,3.7547169811320753,61.37735849056604,1096,153,0
/collections/600-999,388,77,5.038961038961039,78.48051948051948,875,115,0
/collections/200-299,379,106,3.5754716981132075,60.95283018867924,945,110,0
/collections/teen-sex-dolls,373,184,2.027173913043478,27.092391304347824,1296,103,0
/collections/tpe-sex-dolls,370,63,5.873015873015873,93.82539682539682,839,111,0
/products/f5425-150cm-5ft-27-5kg-silicone-anime-hentai-sex-dolls-elsa-babe,370,281,1.3167259786476868,65.03202846975088,1773,97,0
/en-ca/collections/robotic-sex-doll,369,189,1.9523809523809523,28.85185185185185,1405,157,0
/products/t908k94-8lbscinnamon-ssbbw-tpe-gel-torso-sex-doll-with-huge-breasts-climax-doll-classic,364,300,1.2133333333333334,44.13,1666,120,0
/products/f9267-161cm5ft3-41-5kg-h-cup-huge-breast-adult-silicone-sex-doll-bbw-starpery-doll,348,255,1.3647058823529412,50.2,1523,108,0
/collections/aibei-doll,347,64,5.421875,93.0625,850,123,0
/collections/tpe-sex-doll-head,341,105,3.2476190476190476,49.733333333333334,829,110,0
/collections/life-size-ass,339,117,2.8974358974358974,44.136752136752136,998,192,0
/collections/bbw-black-sex-doll,334,146,2.287671232876712,37.082191780821915,1252,147,0
/collections/fantasy-sex-doll-heads,322,136,2.3676470588235294,34.580882352941174,935,104,0
/collections/anime-elf-sex-doll,320,109,2.9357798165137616,44.84403669724771,857,107,0
/collections/blonde-sex-dolls,314,71,4.422535211267606,94.54929577464789,680,86,0
/collections/in-stock-usa-1,312,165,1.8909090909090909,49.63636363636363,1250,147,0
/en-ca/collections/sex-doll-torso,308,91,3.3846153846153846,53.57142857142857,842,98,0
/en-ca/collections/all,307,99,3.101010101010101,39.03030303030303,980,155,0
/products/a323-32-lbs-chubby-belly-butt-ultra-soft-liquid-silicone-ass,303,253,1.1976284584980237,43.533596837944664,1485,59,0
/collections/life-size-torso,302,102,2.9607843137254903,47.333333333333336,806,129,0
/collections/silicone-torso,300,83,3.6144578313253013,56.25301204819277,740,90,0
/collections/anime-alien-sex-doll,297,106,2.80188679245283,40.75471698113208,781,89,0
/collections/new-arrival-sex-doll-heads,296,66,4.484848484848484,62.96969696969697,642,73,0
/collections/top-cydoll,287,98,2.9285714285714284,50.43877551020408,851,131,0
/collections/chubby-sex-doll,283,108,2.6203703703703702,39.861111111111114,764,107,0
/collections/anime-sex-doll-head,279,119,2.3445378151260505,30.084033613445378,753,85,0
/products/f7626-163cm5-3ft-e-cup-great-huge-butt-tpe-body-silicone-head-sex-doll-for-men丨sy-doll,276,249,1.108433734939759,58.76706827309237,1326,86,0
/collections/huge-ass-sex-doll,275,76,3.6184210526315788,52.723684210526315,874,158,0
/collections/sex-doll-legs-feet,273,124,2.2016129032258065,35.74193548387097,842,153,0
/en-ca,271,164,1.6524390243902438,27.835365853658537,1136,191,0
