"登陆页面类型","登陆页面路径","在线商店访客","访问","有商品添加到购物车的访问","到达结账页面的访问","完成结账的访问","转化率","页面浏览量","结账转化率","添加至购物车率","到达结账页面率","到达并完成结账的访问","平均访问持续时间","每次访问的页面浏览量","跳出率","完成结账率","跳出次数","Online store visitors (20260525)","Sessions (20260525)","Sessions with cart additions (20260525)","Sessions that reached checkout (20260525)","Sessions that completed checkout (20260525)","Conversion rate (20260525)","Pageviews (20260525)","Checkout conversion rate (20260525)","Added to cart rate (20260525)","Reached checkout rate (20260525)","Sessions that reached and completed checkout (20260525)","Average session duration (20260525)","Pageviews per session (20260525)","Bounce rate (20260525)","Completed checkout rate (20260525)","Bounces (20260525)","Online store visitors (20260525) ","Sessions (20260525) ","Sessions with cart additions (20260525) ","Sessions that reached checkout (20260525) ","Sessions that completed checkout (20260525) ","Conversion rate (20260525) ","Pageviews (20260525) ","Checkout conversion rate (20260525) ","Added to cart rate (20260525) ","Reached checkout rate (20260525) ","Sessions that reached and completed checkout (20260525) ","Average session duration (20260525) ","Pageviews per session (20260525) ","Bounce rate (20260525) ","Completed checkout rate (20260525) ","Bounces (20260525) "
"Collection","/collections/big-booty-sex-dolls",82,86,1,0,0,0,278,,0.011627906976744186,0,0,190.96511627906978,3.2325581395348837,0.47674418604651164,,41,82,86,1,0,0,0,278,,0.011627906976744186,0,0,190.96511627906978,3.2325581395348837,0.47674418604651164,,41,0,0,0,,,,0,,0,,,0,0,0,,0
"Collection","/collections/animal-hentai-sex-doll",78,80,0,0,0,0,337,,0,0,0,216.1,4.2125,0.4625,,37,78,80,0,0,0,0,337,,0,0,0,216.1,4.2125,0.4625,,37,0,0,,,,,0,,,,,0,0,0,,0
"Collection","/collections/anime-mini-sex-doll",75,76,1,1,0,0,178,0,0.013157894736842105,0.013157894736842105,0,90.65789473684211,2.3421052631578947,0.5789473684210527,0,44,75,76,1,1,0,0,178,0,0.013157894736842105,0.013157894736842105,0,90.65789473684211,2.3421052631578947,0.5789473684210527,0,44,0,0,0,0,,,0,,0,0,,0,0,0,,0
"Collection","/collections/enchanting-delights-2024-top-real-sex-doll-recommendations",73,74,0,0,0,0,266,,0,0,0,162.27027027027026,3.5945945945945947,0.35135135135135137,,26,73,74,0,0,0,0,266,,0,0,0,162.27027027027026,3.5945945945945947,0.35135135135135137,,26,0,0,,,,,0,,,,,0,0,0,,0
"Collection","/collections/mini-sex-doll-torso",66,67,0,0,0,0,146,,0,0,0,143.34328358208955,2.1791044776119404,0.582089552238806,,39,66,67,0,0,0,0,146,,0,0,0,143.34328358208955,2.1791044776119404,0.582089552238806,,39,0,0,,,,,0,,,,,0,0,0,,0
,"/en-ca/collections/enchanting-delights-2024-top-real-sex-doll-recommendations",64,66,0,0,0,0,91,,0,0,0,47.65151515151515,1.378787878787879,0.9090909090909091,,60,64,66,0,0,0,0,91,,0,0,0,47.65151515151515,1.378787878787879,0.9090909090909091,,60,0,0,,,,,0,,,,,0,0,0,,0
,"/en-ca/collections/sex-doll-head",61,62,4,3,0,0,380,0,0.06451612903225806,0.04838709677419355,0,238.61290322580646,6.129032258064516,0.14516129032258066,0,9,61,62,4,3,0,0,380,0,0.06451612903225806,0.04838709677419355,0,238.61290322580646,6.129032258064516,0.14516129032258066,0,9,0,0,0,0,,,0,,0,0,,0,0,0,,0
,"/en-ca/collections/robotic-sex-doll",58,61,0,0,0,0,162,,0,0,0,100.34426229508196,2.6557377049180326,0.5245901639344263,,32,58,61,0,0,0,0,162,,0,0,0,100.34426229508196,2.6557377049180326,0.5245901639344263,,32,0,0,,,,,0,,,,,0,0,0,,0
"Collection","/collections/chinese-sex-doll",61,61,0,0,0,0,144,,0,0,0,69.88524590163935,2.360655737704918,0.7540983606557377,,46,61,61,0,0,0,0,144,,0,0,0,69.88524590163935,2.360655737704918,0.7540983606557377,,46,0,0,,,,,0,,,,,0,0,0,,0
"Collection","/collections/18s-sex-doll",59,61,0,0,0,0,145,,0,0,0,95.81967213114754,2.377049180327869,0.6229508196721312,,38,59,61,0,0,0,0,145,,0,0,0,95.81967213114754,2.377049180327869,0.6229508196721312,,38,0,0,,,,,0,,,,,0,0,0,,0
"Collection","/collections/torso-shemale-sex-doll",57,59,3,1,0,0,232,0,0.05084745762711865,0.01694915254237288,0,277.06779661016947,3.9322033898305087,0.4915254237288136,0,29,57,59,3,1,0,0,232,0,0.05084745762711865,0.01694915254237288,0,277.06779661016947,3.9322033898305087,0.4915254237288136,0,29,0,0,0,0,,,0,,0,0,,0,0,0,,0
"Collection","/collections/silicone-pocket-pussy",57,57,1,0,0,0,122,,0.017543859649122806,0,0,45.578947368421055,2.1403508771929824,0.6491228070175439,,37,57,57,1,0,0,0,122,,0.017543859649122806,0,0,45.578947368421055,2.1403508771929824,0.6491228070175439,,37,0,0,0,,,,0,,0,,,0,0,0,,0
"Product","/products/t901-21-51lb-c-cup-7-08-dildo-electric-shemale-big-penis-male-female-sex-doll-torso-adult-toys",57,57,0,0,0,0,57,,0,0,0,0,1,1,,57,57,57,0,0,0,0,57,,0,0,0,0,1,1,,57,0,0,,,,,0,,,,,,0,0,,0
,"/en-ca/collections/all",55,56,1,1,0,0,181,0,0.017857142857142856,0.017857142857142856,0,103.08928571428571,3.232142857142857,0.35714285714285715,0,20,55,56,1,1,0,0,181,0,0.017857142857142856,0.017857142857142856,0,103.08928571428571,3.232142857142857,0.35714285714285715,0,20,0,0,0,0,,,0,,0,0,,0,0,0,,0
"Collection","/collections/best-seller-sex-dolls-under-200",52,54,0,0,0,0,155,,0,0,0,183.42592592592592,2.8703703703703702,0.4444444444444444,,24,52,54,0,0,0,0,155,,0,0,0,183.42592592592592,2.8703703703703702,0.4444444444444444,,24,0,0,,,,,0,,,,,0,0,0,,0
"Collection","/collections/torso-dildo",52,52,0,0,0,0,97,,0,0,0,89.57692307692308,1.8653846153846154,0.6538461538461539,,34,52,52,0,0,0,0,97,,0,0,0,89.57692307692308,1.8653846153846154,0.6538461538461539,,34,0,0,,,,,0,,,,,0,0,0,,0
"Collection","/collections/bbw-black-sex-doll",52,52,0,0,0,0,162,,0,0,0,176.94230769230768,3.1153846153846154,0.4423076923076923,,23,52,52,0,0,0,0,162,,0,0,0,176.94230769230768,3.1153846153846154,0.4423076923076923,,23,0,0,,,,,0,,,,,0,0,0,,0
,"/ja/blogs/featured-blog/how-to-make-fake-pussy",46,48,0,0,0,0,58,,0,0,0,58.083333333333336,1.2083333333333333,0.8541666666666666,,41,46,48,0,0,0,0,58,,0,0,0,58.083333333333336,1.2083333333333333,0.8541666666666666,,41,0,0,,,,,0,,,,,0,0,0,,0
