登陆页面类型,登陆页面路径,在线商店访客,访问,有商品添加到购物车的访问,到达结账页面的访问,完成结账的访问,转化率,页面浏览量,结账转化率,添加至购物车率,到达结账页面率,到达并完成结账的访问,平均访问持续时间,每次访问的页面浏览量,跳出率,完成结账率,跳出次数,Online store visitors (previous_week),Sessions (previous_week),Sessions with cart additions (previous_week),Sessions that reached checkout (previous_week),Sessions that completed checkout (previous_week),Conversion rate (previous_week),Pageviews (previous_week),Checkout conversion rate (previous_week),Added to cart rate (previous_week),Reached checkout rate (previous_week),Sessions that reached and completed checkout (previous_week),Average session duration (previous_week),Pageviews per session (previous_week),Bounce rate (previous_week),Completed checkout rate (previous_week),Bounces (previous_week),Online store visitors (previous_week) ,Sessions (previous_week) ,Sessions with cart additions (previous_week) ,Sessions that reached checkout (previous_week) ,Sessions that completed checkout (previous_week) ,Conversion rate (previous_week) ,Pageviews (previous_week) ,Checkout conversion rate (previous_week) ,Added to cart rate (previous_week) ,Reached checkout rate (previous_week) ,Sessions that reached and completed checkout (previous_week) ,Average session duration (previous_week) ,Pageviews per session (previous_week) ,Bounce rate (previous_week) ,Completed checkout rate (previous_week) ,Bounces (previous_week) 
Blog Article,/blogs/featured-blog/how-to-diy-an-sex-doll-you,330,335,0,0,0,0,510,,0,0,0,44.88358208955224,1.5223880597014925,0.8626865671641791,,289,454,460,0,0,0,0,642,,0,0,0,44.517391304347825,1.3956521739130434,0.8673913043478261,,399,-27.31277533,-27.17391304,,,,,-20.56074766,,,,,0.8225791639517123,9.080764402287627,-0.542400778,,-27.56892231
Collection,/collections/sex-doll-torso-dildo-for-woman,269,274,2,2,0,0,889,0,0.0072992700729927005,0.0072992700729927005,0,127.02554744525547,3.2445255474452557,0.4781021897810219,0,131,299,308,7,1,1,0.003246753246753247,1010,1,0.022727272727272728,0.003246753246753247,1,157.34415584415584,3.279220779220779,0.4155844155844156,1,128,-10.03344482,-11.03896104,-71.42857143,100,-100,-100,-11.98019802,-100,-67.88321168,124.81751824817516,-100,-19.26897649,-1.058032811,15.043339416058393,-100,2.34375
Collection,/collections/black-sex-dolls,241,248,2,0,0,0,885,,0.008064516129032258,0,0,166.03225806451613,3.568548387096774,0.45161290322580644,,112,259,282,2,1,0,0,1032,0,0.0070921985815602835,0.0035460992907801418,0,197.54255319148936,3.6595744680851063,0.44680851063829785,0,126,-6.94980695,-12.05673759,0,-100,,,-14.24418605,,13.709677419354838,-100,,-15.95114299,-2.487340585,1.075268817204303,,-11.11111111
Collection,/collections/boob-job-sex-toys,229,236,1,1,0,0,588,0,0.00423728813559322,0.00423728813559322,0,94.35169491525424,2.4915254237288136,0.6059322033898306,0,143,199,204,1,1,0,0,504,0,0.004901960784313725,0.004901960784313725,0,103.27450980392157,2.4705882352941178,0.6225490196078431,0,127,15.075376884422111,15.686274509803921,0,0,,,16.666666666666668,,-13.55932203,-13.55932203,,-8.6399005,0.8474576271186407,-2.669157881,,12.598425196850394
Collection,/collections/sex-doll-torso,189,194,1,0,0,0,906,,0.005154639175257732,0,0,257.29896907216494,4.670103092783505,0.3247422680412371,,63,245,255,5,3,0,0,1158,0,0.0196078431372549,0.011764705882352941,0,260.48627450980393,4.541176470588235,0.43137254901960786,0,110,-22.85714286,-23.92156863,-80,-100,,,-21.76165803,,-73.71134021,-100,,-1.223598227,2.8390577426419625,-24.71883786,,-42.72727273
Collection,/collections/flat-chest-sex-doll,167,181,1,0,0,0,626,,0.0055248618784530384,0,0,202.71270718232043,3.458563535911602,0.49171270718232046,,89,194,202,3,0,0,0,608,,0.01485148514851485,0,0,127.67821782178218,3.00990099009901,0.5297029702970297,,107,-13.91752577,-10.3960396,-66.66666667,,,,2.960526315789474,,-62.79926335,,,58.76843414690677,14.906222739168356,-7.171993597,,-16.82242991
Collection,/collections/black-torso-sex-dolls,152,158,1,1,0,0,388,0,0.006329113924050633,0.006329113924050633,0,92.39873417721519,2.4556962025316458,0.6265822784810127,0,99,154,158,2,0,0,0,472,,0.012658227848101266,0,0,152.43037974683546,2.9873417721518987,0.4873417721518987,,77,-1.298701299,0,-50,,,,-17.79661017,,-50,,,-39.38299286,-17.79661017,28.571428571428577,,28.571428571428573
Blog Article,/blogs/dolls-info-qustions/how-to-make-a-fake-ass-sex-toy,144,151,0,0,0,0,215,,0,0,0,31.344370860927153,1.423841059602649,0.8410596026490066,,127,188,189,0,0,0,0,248,,0,0,0,34.91005291005291,1.312169312169312,0.8253968253968254,,156,-23.40425532,-20.10582011,,,,,-13.30645161,,,,,-10.2139119,8.510467848750269,1.897605705552727,,-18.58974359
Collection,/collections/shemale-sex-toy,150,150,3,1,0,0,309,0,0.02,0.006666666666666667,0,95.11333333333333,2.06,0.6466666666666666,0,97,119,124,0,0,0,0,232,,0,0,0,84.54838709677419,1.8709677419354838,0.7338709677419355,,91,26.050420168067227,20.967741935483872,,,,,33.189655172413794,,,,,12.49573953961592,10.103448275862078,-11.88278388,,6.593406593406593
Collection,/collections/huge-breasts-sex-dolls,130,142,1,0,0,0,591,,0.007042253521126761,0,0,207.27464788732394,4.161971830985915,0.3873239436619718,,55,145,150,0,0,0,0,594,,0,0,0,148.76666666666668,3.96,0.42,,63,-10.34482759,-5.333333333,,,,,-0.505050505,,,,,39.32869004301406,5.100298762270583,-7.780013414,,-12.6984127
Collection,/collections/fake-pussy-fake-vagina-sex-toys,137,138,2,0,0,0,341,,0.014492753623188406,0,0,72.77536231884058,2.471014492753623,0.5797101449275363,,80,145,148,4,1,0,0,532,0,0.02702702702702703,0.006756756756756757,0,128.1891891891892,3.5945945945945947,0.527027027027027,0,78,-5.517241379,-6.756756757,-50,-100,,,-35.90225564,,-46.37681159,-100,,-43.22815927,-31.25749155,9.996283909327405,,2.5641025641025643
Collection,/collections/under-100,126,128,3,1,1,0.0078125,366,1,0.0234375,0.0078125,1,128.4921875,2.859375,0.6015625,1,77,104,109,0,0,0,0,261,,0,0,0,89.72477064220183,2.3944954128440368,0.5963302752293578,,65,21.153846153846153,17.431192660550458,,,,,40.229885057471265,,,,,43.207039238241315,19.41451149425287,0.8774038461538499,,18.46153846153846
Collection,/collections/futa-sex-doll,114,119,0,0,0,0,297,,0,0,0,103.10924369747899,2.495798319327731,0.5630252100840336,,67,123,124,1,0,0,0,482,,0.008064516129032258,0,0,180.7016129032258,3.8870967741935485,0.4032258064516129,,50,-7.317073171,-4.032258065,-100,,,,-38.38174274,,-100,,,-42.93950007,-35.79274033,39.630252100840345,,34
Collection,/collections/asian-sex-doll,114,116,1,1,0,0,325,0,0.008620689655172414,0.008620689655172414,0,120.1896551724138,2.8017241379310347,0.5517241379310345,0,64,108,111,0,0,0,0,273,,0,0,0,154.64864864864865,2.4594594594594597,0.6576576576576577,,73,5.555555555555555,4.504504504504505,,,,,19.047619047619047,,,,,-22.28211742,13.91625615763547,-16.10769957,,-12.32876712
Collection,/collections/18s-sex-doll,109,111,1,0,0,0,288,,0.009009009009009009,0,0,85.88288288288288,2.5945945945945947,0.6216216216216216,,69,107,108,0,0,0,0,266,,0,0,0,110.37037037037037,2.462962962962963,0.5740740740740741,,62,1.8691588785046729,2.7777777777777777,,,,,8.270676691729323,,,,,-22.18664974,5.344442186547463,8.282476024411505,,11.290322580645162
Collection,/collections/big-booty-sex-dolls,102,103,2,0,0,0,393,,0.019417475728155338,0,0,243.11650485436894,3.8155339805825244,0.3883495145631068,,40,112,114,1,1,0,0,399,0,0.008771929824561403,0.008771929824561403,0,203.6315789473684,3.5,0.38596491228070173,0,44,-8.928571429,-9.649122807,100,-100,,,-1.503759398,,121.35922330097088,-100,,19.390374573094082,9.015256588072123,0.6178287731685831,,-9.090909091
Product,/products/599-83lb-sex-doll-torso-with-realistic-oversized-ass,95,102,2,2,0,0,515,0,0.0196078431372549,0.0196078431372549,0,326.45098039215685,5.049019607843137,0.5490196078431373,0,56,84,107,1,0,0,0,250,,0.009345794392523364,0,0,148.10280373831776,2.336448598130841,0.6822429906542056,,73,13.095238095238095,-4.672897196,100,,,,106,,109.80392156862746,,,120.42187733931205,116.09803921568626,-19.52726296,,-23.28767123
Collection,/collections/anime-mini-sex-doll,99,99,1,1,0,0,319,0,0.010101010101010102,0.010101010101010102,0,176.16161616161617,3.2222222222222223,0.46464646464646464,0,46,131,133,0,0,0,0,320,,0,0,0,79.71428571428571,2.406015037593985,0.6691729323308271,,89,-24.42748092,-25.56390977,,,,,-0.3125,,,,,120.99127475471563,33.92361111111112,-30.56406764,,-48.31460674
Collection,/collections/silicone-ass,93,95,0,0,0,0,311,,0,0,0,204.0842105263158,3.2736842105263158,0.5263157894736842,,50,91,99,0,0,0,0,379,,0,0,0,195.35353535353536,3.8282828282828283,0.46464646464646464,,46,2.197802197802198,-4.04040404,,,,,-17.94195251,,,,,4.46916671202307,-14.48687682,13.27231121281464,,8.695652173913043
Collection,/collections/anime-pocket-pussy,94,94,1,1,0,0,325,0,0.010638297872340425,0.010638297872340425,0,153.89361702127658,3.4574468085106385,0.6595744680851063,0,62,83,83,0,0,0,0,213,,0,0,0,94.40963855421687,2.566265060240964,0.5903614457831325,,49,13.25301204819277,13.25301204819277,,,,,52.582159624413144,,,,,63.006255905640074,34.726800519428636,11.723838471558826,,26.53061224489796
Collection,/collections/life-size-anime-sex-doll,92,93,0,0,0,0,286,,0,0,0,132.8709677419355,3.075268817204301,0.4838709677419355,,45,94,99,1,0,0,0,410,,0.010101010101010102,0,0,146.8989898989899,4.141414141414141,0.43434343434343436,,43,-2.127659574,-6.060606061,-100,,,,-30.24390244,,-100,,,-9.549434048,-25.74350905,11.402850712678168,,4.651162790697675
Blog Article,/blogs/sex-doll-torso-blog/top-7-sex-poses-with-your-torso-sex-doll,83,87,0,0,0,0,110,,0,0,0,49.01149425287356,1.264367816091954,0.8735632183908046,,76,92,95,0,0,0,0,122,,0,0,0,55.72631578947368,1.2842105263157895,0.9052631578947369,,86,-9.782608696,-8.421052632,,,,,-9.836065574,,,,,-12.04964197,-1.545129075,-3.501737503,,-11.62790698
,/de/collections/robotic-sex-doll,84,87,2,1,1,0.011494252873563218,192,1,0.022988505747126436,0.011494252873563218,1,117.40229885057471,2.206896551724138,0.5747126436781609,1,50,80,82,0,0,0,0,220,,0,0,0,95.36585365853658,2.682926829268293,0.5609756097560976,,46,5,6.097560975609756,,,,,-12.72727273,,,,,23.107269894464537,-17.74294671,2.4487756121938866,,8.695652173913043
Collection,/collections/mini-sex-doll-torso,86,86,1,0,0,0,154,,0.011627906976744186,0,0,83.37209302325581,1.7906976744186047,0.686046511627907,,59,58,58,0,0,0,0,158,,0,0,0,147.06896551724137,2.7241379310344827,0.46551724137931033,,27,48.275862068965516,48.275862068965516,,,,,-2.53164557,,,,,-43.31088634,-34.26552841,47.37295434969854,,118.51851851851852
Collection,/collections/lesbian-sex-doll-torso,80,83,0,0,0,0,178,,0,0,0,86.81927710843374,2.144578313253012,0.6867469879518072,,57,71,71,0,0,0,0,109,,0,0,0,67.73239436619718,1.5352112676056338,0.704225352112676,,50,12.67605633802817,16.901408450704224,,,,,63.30275229357798,,,,,28.179843516298508,39.69271581739804,-2.481927711,,14
Custom Page,/pages/sex-doll-gif,80,81,0,0,0,0,160,,0,0,0,59.06172839506173,1.9753086419753085,0.7037037037037037,,57,91,92,0,0,0,0,172,,0,0,0,96.22826086956522,1.8695652173913044,0.6847826086956522,,63,-12.08791209,-11.95652174,,,,,-6.976744186,,,,,-38.6233027,5.656043640539753,2.7630805408583146,,-9.523809524
