"登陆页面类型","登陆页面路径","在线商店访客","访问","有商品添加到购物车的访问","到达结账页面的访问","完成结账的访问","转化率","页面浏览量","结账转化率","添加至购物车率","到达结账页面率","到达并完成结账的访问","平均访问持续时间","每次访问的页面浏览量","跳出率","完成结账率","跳出次数","Online store visitors (previous_period)","Sessions (previous_period)","Sessions with cart additions (previous_period)","Sessions that reached checkout (previous_period)","Sessions that completed checkout (previous_period)","Conversion rate (previous_period)","Pageviews (previous_period)","Checkout conversion rate (previous_period)","Added to cart rate (previous_period)","Reached checkout rate (previous_period)","Sessions that reached and completed checkout (previous_period)","Average session duration (previous_period)","Pageviews per session (previous_period)","Bounce rate (previous_period)","Completed checkout rate (previous_period)","Bounces (previous_period)","Online store visitors (previous_period) ","Sessions (previous_period) ","Sessions with cart additions (previous_period) ","Sessions that reached checkout (previous_period) ","Sessions that completed checkout (previous_period) ","Conversion rate (previous_period) ","Pageviews (previous_period) ","Checkout conversion rate (previous_period) ","Added to cart rate (previous_period) ","Reached checkout rate (previous_period) ","Sessions that reached and completed checkout (previous_period) ","Average session duration (previous_period) ","Pageviews per session (previous_period) ","Bounce rate (previous_period) ","Completed checkout rate (previous_period) ","Bounces (previous_period) "
"Collection","/collections/futa-sex-doll",181,184,1,0,0,0,645,,0.005434782608695652,0,0,154.58695652173913,3.505434782608696,0.42934782608695654,,79,203,205,1,0,0,0,650,,0.004878048780487805,0,0,128.1951219512195,3.1707317073170733,0.4926829268292683,,101,-10.83743842364532,-10.24390243902439,0,,,,-0.7692307692307693,,11.413043478260866,,,20.587237773807164,10.556020066889632,-12.855144210073176,,-21.782178217821784
"Blog Article","/blogs/dolls-info-qustions/how-to-make-a-fake-ass-sex-toy",170,175,0,0,0,0,239,,0,0,0,54.29714285714286,1.3657142857142857,0.7714285714285715,,135,176,180,0,0,0,0,259,,0,0,0,46.93333333333333,1.4388888888888889,0.85,,153,-3.409090909090909,-2.7777777777777777,,,,,-7.722007722007722,,,,,15.689935064935076,-5.085493656922232,-9.24369747899159,,-11.764705882352942
"Collection","/collections/anime-mini-sex-doll",166,167,1,0,0,0,419,,0.005988023952095809,0,0,79.04790419161677,2.5089820359281436,0.6586826347305389,,110,112,114,0,0,0,0,259,,0,0,0,107.46491228070175,2.2719298245614037,0.6842105263157895,,78,48.214285714285715,46.49122807017544,,,,,61.77606177606177,,,,,-26.443057074162834,10.43395833814994,-3.730999539382779,,41.02564102564103
"Collection","/collections/black-torso-sex-dolls",135,142,1,0,0,0,342,,0.007042253521126761,0,0,118.58450704225352,2.408450704225352,0.5070422535211268,,72,108,114,1,0,0,0,340,,0.008771929824561403,0,0,176.0438596491228,2.982456140350877,0.4649122807017544,,53,25,24.56140350877193,0,,,,0.5882352941176471,,-19.718309859154925,,,-32.63922565739747,-19.246064623032314,9.061918681902734,,35.84905660377358
"Collection","/collections/shemale-sex-toy",125,128,1,1,0,0,311,0,0.0078125,0.0078125,0,123.0625,2.4296875,0.703125,0,90,114,116,1,1,0,0,285,0,0.008620689655172414,0.008620689655172414,0,98.9396551724138,2.456896551724138,0.6206896551724138,0,72,9.649122807017545,10.344827586206897,0,0,,,9.12280701754386,,-9.374999999999998,-9.374999999999998,,24.38137143852923,-1.107456140350876,13.281249999999996,,25
"Product","/products/f9308-163cm-5ft4-39kg-silicone-anime-sex-doll-naked-elsa-babe",125,126,0,0,0,0,189,,0,0,0,32.904761904761905,1.5,0.7936507936507936,,100,57,57,0,0,0,0,220,,0,0,0,116.82456140350877,3.8596491228070176,0.7017543859649122,,40,119.29824561403508,121.05263157894737,,,,,-14.090909090909092,,,,,-71.8340377148006,-61.13636363636363,13.095238095238095,,150
"Collection","/collections/torso-dildo",117,122,1,0,0,0,324,,0.00819672131147541,0,0,138.75409836065575,2.6557377049180326,0.5655737704918032,,69,95,95,1,0,0,0,295,,0.010526315789473684,0,0,188.26315789473685,3.1052631578947367,0.4421052631578947,,42,23.157894736842106,28.42105263157895,0,,,,9.830508474576272,,-22.131147540983598,,,-26.29779511175681,-14.476243400944709,27.92740046838407,,64.28571428571429
"Collection","/collections/asian-sex-doll",95,96,1,0,0,0,315,,0.010416666666666666,0,0,200.26041666666666,3.28125,0.5208333333333334,,50,124,125,1,1,0,0,500,0,0.008,0.008,0,190.288,4,0.552,0,69,-23.387096774193548,-23.2,0,-100,,,-37,,30.20833333333332,-100,,5.24069655819949,-17.96875,-5.646135265700484,,-27.536231884057973
"Product","/products/f5950-164cm5ft4-40-5kg-robot-all-in-one-seamless-neck-silicone-celebrity-sex-doll-irontech-doll",90,94,0,0,0,0,266,,0,0,0,144.7659574468085,2.8297872340425534,0.648936170212766,,61,0,0,0,0,0,,0,,,,0,,,,,0,,,,,,,,,,,,,,,,
"Blog Article","/blogs/sex-doll-torso-blog/top-7-sex-poses-with-your-torso-sex-doll",92,93,0,0,0,0,137,,0,0,0,46.43010752688172,1.4731182795698925,0.7956989247311828,,74,50,52,0,0,0,0,61,,0,0,0,52.07692307692308,1.1730769230769231,0.8653846153846154,,45,84,78.84615384615384,,,,,124.59016393442623,,,,,-10.843220406283262,25.577295963335093,-8.052568697729996,,64.44444444444444
