"Landing page type","Landing page path","Online store visitors","Sessions","Sessions with cart additions","Sessions that reached checkout","Sessions that completed checkout","Conversion rate","Pageviews","Checkout conversion rate","Added to cart rate","Reached checkout rate","Sessions that reached and completed checkout","Average session duration","Pageviews per session","Bounce rate","Completed checkout rate","Bounces","Online store visitors (20260511)","Sessions (20260511)","Sessions with cart additions (20260511)","Sessions that reached checkout (20260511)","Sessions that completed checkout (20260511)","Conversion rate (20260511)","Pageviews (20260511)","Checkout conversion rate (20260511)","Added to cart rate (20260511)","Reached checkout rate (20260511)","Sessions that reached and completed checkout (20260511)","Average session duration (20260511)","Pageviews per session (20260511)","Bounce rate (20260511)","Completed checkout rate (20260511)","Bounces (20260511)","Online store visitors (20260511) ","Sessions (20260511) ","Sessions with cart additions (20260511) ","Sessions that reached checkout (20260511) ","Sessions that completed checkout (20260511) ","Conversion rate (20260511) ","Pageviews (20260511) ","Checkout conversion rate (20260511) ","Added to cart rate (20260511) ","Reached checkout rate (20260511) ","Sessions that reached and completed checkout (20260511) ","Average session duration (20260511) ","Pageviews per session (20260511) ","Bounce rate (20260511) ","Completed checkout rate (20260511) ","Bounces (20260511) "
"Product","/products/599-83lb-sex-doll-torso-with-realistic-oversized-ass",78,82,1,1,0,0,206,0,0.012195121951219513,0.012195121951219513,0,121.2560975609756,2.5121951219512195,0.5975609756097561,0,49,78,82,1,1,0,0,206,0,0.012195121951219513,0.012195121951219513,0,121.2560975609756,2.5121951219512195,0.5975609756097561,0,49,0,0,0,0,,,0,,0,0,,0,0,0,,0
"Collection","/collections/lesbian-sex-doll-torso",75,77,0,0,0,0,149,,0,0,0,83.66233766233766,1.9350649350649352,0.7272727272727273,,56,75,77,0,0,0,0,149,,0,0,0,83.66233766233766,1.9350649350649352,0.7272727272727273,,56,0,0,,,,,0,,,,,0,0,0,,0
"Collection","/collections/asian-sex-doll",75,77,2,0,0,0,309,,0.025974025974025976,0,0,160.58441558441558,4.012987012987013,0.5324675324675324,,41,75,77,2,0,0,0,309,,0.025974025974025976,0,0,160.58441558441558,4.012987012987013,0.5324675324675324,,41,0,0,0,,,,0,,0,,,0,0,0,,0
"Collection","/collections/vibrating-sex-doll-torso",72,74,0,0,0,0,152,,0,0,0,80.54054054054055,2.054054054054054,0.7027027027027027,,52,72,74,0,0,0,0,152,,0,0,0,80.54054054054055,2.054054054054054,0.7027027027027027,,52,0,0,,,,,0,,,,,0,0,0,,0
"Collection","/collections/big-booty-sex-dolls",74,74,2,1,0,0,280,0,0.02702702702702703,0.013513513513513514,0,194.32432432432432,3.7837837837837838,0.44594594594594594,0,33,74,74,2,1,0,0,280,0,0.02702702702702703,0.013513513513513514,0,194.32432432432432,3.7837837837837838,0.44594594594594594,0,33,0,0,0,0,,,0,,0,0,,0,0,0,,0
"Collection","/collections/best-seller-sex-dolls-under-200",67,67,1,0,0,0,206,,0.014925373134328358,0,0,156.88059701492537,3.074626865671642,0.582089552238806,,39,67,67,1,0,0,0,206,,0.014925373134328358,0,0,156.88059701492537,3.074626865671642,0.582089552238806,,39,0,0,0,,,,0,,0,,,0,0,0,,0
"Collection","/collections/enchanting-delights-2024-top-real-sex-doll-recommendations",63,64,0,0,0,0,193,,0,0,0,137.984375,3.015625,0.4375,,28,63,64,0,0,0,0,193,,0,0,0,137.984375,3.015625,0.4375,,28,0,0,,,,,0,,,,,0,0,0,,0
"Collection","/collections/chinese-sex-doll",54,59,0,0,0,0,160,,0,0,0,137.9322033898305,2.711864406779661,0.6440677966101694,,38,54,59,0,0,0,0,160,,0,0,0,137.9322033898305,2.711864406779661,0.6440677966101694,,38,0,0,,,,,0,,,,,0,0,0,,0
"Collection","/collections/life-size-shemale-sex-doll",57,57,0,0,0,0,114,,0,0,0,67.66666666666667,2,0.6491228070175439,,37,57,57,0,0,0,0,114,,0,0,0,67.66666666666667,2,0.6491228070175439,,37,0,0,,,,,0,,,,,0,0,0,,0
"Collection","/collections/mini-sex-doll-torso",55,55,0,0,0,0,108,,0,0,0,184.6727272727273,1.9636363636363636,0.6545454545454545,,36,55,55,0,0,0,0,108,,0,0,0,184.6727272727273,1.9636363636363636,0.6545454545454545,,36,0,0,,,,,0,,,,,0,0,0,,0
