# ----------------------------------------
# 网页和屏幕: 网页路径和屏幕类
# 账号：linkdolls
# 媒体资源：linkdolls-new - GA4
# ----------------------------------------
# 
# 所有用户
# 开始日期：20260401
# 结束日期：20260430
网页路径和屏幕类,浏览次数,活跃用户,每位活跃用户的浏览量,每位活跃用户的平均互动时长,事件数,关键事件数,总收入,平均会话时长,跳出率,加入购物车的商品数,结账次数
/blogs/featured-blog/how-to-make-fake-pussy,1177,1235,0.9530364372469635,43.59352226720648,7145,165,0,77.27344915285599,0.23974255832662913,0,0
/collections/shemale-sex-toy,1126,446,2.524663677130045,38.14798206278027,3544,239,0,99.34163162660944,0.26394849785407726,0,0
/collections/movie-music-celebrities,1085,291,3.7285223367697595,61.350515463917525,2773,419,0,90.15868065319866,0.026936026936026935,0,0
/collections/electric-sex-doll-head,1062,264,4.0227272727272725,62.54924242424242,2621,379,0,124.90175996466431,0.028268551236749116,0,0
/collections/fantasy-sex-dolls,1043,267,3.906367041198502,55.61048689138577,2371,247,0,85.87506288,0.09454545454545454,0,0
/collections/vendors,1017,275,3.6981818181818182,41.32363636363636,3307,361,0,116.97751187878788,0.22424242424242424,0,0
/collections/animal-hentai-sex-doll,1006,333,3.021021021021021,38.12312312312312,3318,402,0,94.47123281661891,0.22349570200573066,0,0
/collections/japanese-anime-sex-doll,964,271,3.5571955719557193,43.91512915129151,2404,325,0,66.57985855,0.05,0,0
/collections/sex-doll-factory-pictures,936,233,4.017167381974249,86.25321888412017,4306,857,0,161.82212852895753,0.05791505791505792,0,0
/collections/curvy-sex-dolls,901,117,7.700854700854701,140.95726495726495,1852,268,0,208.94041341481483,0.05185185185185185,0,0
/collections/big-ass-sex-doll-full-size,895,227,3.94273127753304,59.80616740088106,2363,373,0,94.56989297046414,0.03375527426160337,0,0
/products/a664-37-5lb-silicone-butt-sexy-and-real-realistic-big-ass-sex-doll-torso,889,758,1.1728232189973615,45.970976253298154,4483,362,0,84.94682488129496,0.0815347721822542,10,0
/collections/silicone-sex-doll-heads,882,201,4.388059701492537,61.91044776119403,1926,260,0,140.03045699999998,0.02304147465437788,0,0
/collections/tpe-ass,874,285,3.066666666666667,42.90877192982456,2438,342,0,86.02944146666665,0.016666666666666666,0,0
/collections/sex-doll-legs,873,389,2.2442159383033418,39.76349614395887,2905,483,0,62.99445057894736,0.057208237986270026,0,0
/collections/100-199,854,166,5.144578313253012,65.355421686747,1812,198,0,119.22970769318181,0.045454545454545456,0,0
/collections/torso-dildo,852,312,2.730769230769231,44.94871794871795,2841,272,0,95.37645983231708,0.20426829268292682,0,0
/collections/alien-sex-dolls,839,292,2.8732876712328768,54.87671232876713,2495,332,0,102.38665166129033,0.11935483870967742,0,0
/collections/torso-shemale-sex-doll,838,301,2.784053156146179,46.78405315614618,2440,248,0,124.80807532154341,0.06430868167202572,0,0
/collections/hentai-sex-dolls-connecting-fantasy-to-reality,812,233,3.484978540772532,50.38197424892704,2105,293,0,93.69008973029045,0.17842323651452283,0,0
/collections/real-lady,807,281,2.8718861209964412,55.98220640569395,2584,428,0,109.65802467326733,0.0462046204620462,0,0
/collections/loli-sex-dolls,800,250,3.2,49.108,1912,212,0,94.03217272265626,0.0234375,0,0
/collections/doll-castle,748,147,5.08843537414966,97.34693877551021,1844,252,0,121.68132172375691,0.03314917127071823,0,0
/collections/male-sex-doll,746,190,3.9263157894736844,58.89473684210526,1934,214,0,140.42831700925925,0.125,0,0
/collections/300-600,745,143,5.20979020979021,71.35664335664336,1676,179,0,86.29488930864197,0.07407407407407407,0,0
/collections/silicone-pocket-pussy,745,320,2.328125,29.89375,2505,232,0,69.92613711178247,0.18429003021148035,0,0
/collections/18s-sex-doll,736,396,1.8585858585858586,22.901515151515152,2648,130,0,65.01270024514562,0.3762135922330097,0,0
/blogs/dolls-info-qustions/how-to-make-a-fake-ass-sex-toy,712,698,1.0200573065902578,46.50573065902579,4187,82,0,110.19347428094575,0.15159944367176634,0,0
/collections/torso-only,711,193,3.683937823834197,54.78756476683938,1844,250,0,90.3386503482587,0.06467661691542288,0,0
/collections/shemale-sex-doll,708,299,2.367892976588629,35.65886287625418,2296,294,0,61.849295757281546,0.02912621359223301,0,0
/products/57-32lb-sex-doll-torso-with-life-size-ass-and-soft-skin-512-sex-doll-torso,664,570,1.1649122807017545,51.99473684210526,3402,231,0,89.8459819384858,0.07097791798107256,6,0
/collections/petite-sex-doll,645,163,3.957055214723926,51.14110429447853,1601,157,0,101.705364875,0.19021739130434784,0,0
/collections/best-seller-sex-dolls-under-200,626,145,4.317241379310345,47.220689655172414,1471,80,0,103.80128798064516,0.18064516129032257,0,0
/en-ca/collections/bbw-sex-doll-torso,621,188,3.3031914893617023,41.9468085106383,1817,236,0,124.26759616915422,0.208955223880597,0,0
/collections/sex-doll-feet,618,329,1.878419452887538,26.890577507598785,2171,230,0,53.44238991014493,0.06666666666666667,0,0
/collections/chinese-sex-doll,614,226,2.7168141592920354,74.57522123893806,2124,223,0,178.75138996992484,0.31954887218045114,0,0
/collections/wm-doll,602,112,5.375,93.5,1426,221,0,138.90080810852714,0.06976744186046512,0,0
/collections/mini-sex-doll-torso,584,232,2.5172413793103448,35.293103448275865,1794,102,0,124.63681989112904,0.21370967741935484,0,0
/products/a499-84-92lb-silicone-bubble-butt-big-booty-sex-doll-torso-lovenestle,574,494,1.1619433198380567,45.979757085020246,2832,149,0,87.63423704308798,0.04488330341113106,7,0
/collections/lesbian-sex-doll-torso,573,219,2.6164383561643834,47.04109589041096,1797,112,0,86.77234596595746,0.32340425531914896,0,0
/collections/vibrating-sex-doll-torso,567,296,1.9155405405405406,36.65878378378378,2092,228,0,79.89601458204335,0.19814241486068113,0,0
/de/collections/robotic-sex-doll,553,446,1.2399103139013452,19.755605381165918,2793,290,0,49.69098762076272,0.3495762711864407,0,0
/collections/teen-sex-dolls,545,211,2.5829383886255926,36.09004739336493,1513,144,0,85.67887511818181,0.22272727272727272,0,0
/collections/anime-sex-doll-heads,516,162,3.185185185185185,47.74074074074074,1325,166,0,99.88917561714285,0.022857142857142857,0,0
/collections/milf-sex-dolls,515,131,3.931297709923664,67.54961832061069,1397,215,0,145.92972120714285,0.11428571428571428,0,0
/collections/zelex-doll,504,102,4.9411764705882355,67.81372549019608,1230,151,0,135.5769204961832,0.16030534351145037,0,0
/collections/ros-sex-doll,483,122,3.959016393442623,57.73770491803279,1140,153,0,100.860078609375,0.046875,0,0
/collections/pocket-pussy-ass,480,201,2.388059701492537,30.228855721393035,1472,177,0,46.44302007655502,0.12440191387559808,0,0
/collections/sex-doll-legs-feet,478,132,3.621212121212121,51.78030303030303,1574,313,0,144.7844156181818,0.06060606060606061,0,0
/collections/aibei-doll,477,54,8.833333333333334,148.88888888888889,917,96,0,288.88873658823525,0.058823529411764705,0,0
/collections/anime-pocket-pussy,473,196,2.413265306122449,29.663265306122447,1516,125,0,66.89004978217822,0.20297029702970298,0,0
/collections/in-stock-sex-doll-heads,471,170,2.7705882352941176,42.94117647058823,1355,196,0,58.054101258064506,0.03763440860215054,0,0
/products/f555-161cm5ft3-h-cup-huge-areola-bbw-head-silicone-sex-doll-starpery-doll,463,384,1.2057291666666667,81.3984375,2281,262,0,111.1051614736842,0.03110047846889952,6,0
/collections/anime-cosplay-sex-doll,453,138,3.282608695652174,37.3768115942029,1221,137,0,63.086638662068964,0.1103448275862069,0,0
/collections/200-299,444,115,3.860869565217391,41.982608695652175,1061,110,0,94.68786685365853,0.11382113821138211,0,0
/en-ca/collections/anime-sex-doll,440,100,4.4,58.55,1070,114,0,110.58272724299066,0.17757009345794392,0,0
/collections/big-boobs-sex-doll,436,163,2.6748466257668713,59.54601226993865,1210,170,0,93.34135786904761,0.041666666666666664,0,0
/products/f2319a-163cm5-3ft-53kg-g-cup-hips-over-140-ros-movable-jaw-super-fat-bbw-huge-ass-sex-doll丨sy-doll,436,395,1.1037974683544305,58.79746835443038,2239,216,0,82.69419926004728,0.037825059101654845,7,0
/collections/sy-doll,428,92,4.6521739130434785,99.56521739130434,1079,152,0,162.00077991346154,0.09615384615384616,0,0
/en-ca/collections/sex-doll-head,418,182,2.2967032967032965,32.642857142857146,1407,185,0,67.68505519786096,0.19786096256684493,0,0
/collections/life-size-torso,407,84,4.845238095238095,69.07142857142857,1093,151,0,101.10194603157895,0.07368421052631578,0,0
/collections/japanese-sex-doll,406,119,3.411764705882353,68.50420168067227,1116,153,0,117.01289323387097,0.10483870967741936,0,0
/collections/tpe-sex-doll-head,400,93,4.301075268817204,65.66666666666667,909,115,0,107.56568964423079,0.038461538461538464,0,0
/collections/new-sex-dolls-2023-05,396,65,6.092307692307692,93.6923076923077,920,140,0,177.5088396835443,0.02531645569620253,0,0
/en-ca/collections/flat-chest-sex-doll,396,87,4.551724137931035,68.08045977011494,1018,120,0,92.44811510752689,0.053763440860215055,0,0
/collections/600-999,393,87,4.517241379310345,58.94252873563219,854,98,0,104.41517743010752,0.06451612903225806,0,0
/collections/starpery-doll,381,81,4.703703703703703,92.33333333333333,1035,143,0,130.1326804742268,0.061855670103092786,0,0
/collections/anime-hentai-sex-doll,377,121,3.115702479338843,36.264462809917354,1103,146,0,57.32813739230769,0.23846153846153847,0,0
/collections/top-cydoll,371,84,4.416666666666667,69.55952380952381,1061,173,0,117.78585009734513,0.09734513274336283,0,0
/en-ca/collections/fake-ass-sex-toy,369,123,3,41.34959349593496,1164,172,0,55.50078604285715,0.15,0,0
/collections/2000-sex-doll,367,84,4.369047619047619,75.79761904761905,962,185,0,119.275104954023,0.06896551724137931,0,0
/collections/bbw-black-sex-doll,366,143,2.5594405594405596,40.02797202797203,1309,144,0,129.24698565,0.19375,0,0
/collections/sex-doll-anal,365,145,2.5172413793103448,43.83448275862069,1245,130,0,92.03535034193548,0.2709677419354839,0,0
/en-ca/collections/full-doll,362,205,1.7658536585365854,27.01951219512195,1339,233,0,65.81737804716981,0.07075471698113207,0,0
